KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K200725|Acuitive Technologies|Jaclyn  Docs|50 Commerce Drive||Allendale|NJ|US|07401|07401|03/19/2020|10/07/2020|SESE|OR|MAI|Summary|OR||Traditional|N||Citregen Tendon Interference Screw and Citrelock
K200728|S H Pitkar Orthotools Pvt Ltd.|Vivek  Mangalwedhekar|Plot No. EL 32, J Block, MIDC Bhosari||Pune||IN|411026|411026|03/20/2020|10/06/2020|SESE|OR|KTT|Summary|OR||Traditional|N||Pitkar Sixafix System
K200757|DeRoyal Industries, Inc.|Sarah  Bennett|200 DeBusk Lane||Powell|TN|US|37849|37849|03/24/2020|10/15/2020|SESE|GU|EYC|Summary|GU||Traditional|N||Foley Catheter with Temperature Sensor
K200764|Centrix Incorporated|Greg  Moreau|770 River Road||Shelton|CT|US|06484|06484|03/24/2020|10/15/2020|SESE|DE|MVL|Summary|||Traditional|N||STATSTIX
K200767|EnzySurge Ltd.|Moshe  Landsberg|26 Shabazi St.||Rosh Ha'Ayin||IL|4802126|4802126|03/25/2020|10/08/2020|SESE|SU|FRO|Summary|||Traditional|N||SilverStream Gel
K200792|Medacta Inernational SA|Stefano  Baj|Strada Regina||Castel San Pietro||CH|cH-6874|cH-6874|03/26/2020|10/05/2020|SESE|OR|PQC|Summary|OR||Traditional|N||MySpine S2-Alar/Alar-Iliac Pedicle Screw Placement Guides
K200793|L&K BIOMED Co., Ltd.|KiHyang  Kim|#201, 202 16-25, Dongbaekjungang-ro 16 beon-gil,||Giheung-gu, Yongin-si||KR|17015|17015|03/26/2020|10/08/2020|SESE|OR|NKG|Summary|OR||Special|N||LnK Posterior Cervical Fixation System and CastleLoc-S Posterior Cervical Fixation System
K200802|Shenzhen Urion Technology Co., Ltd|Autumn  Liu|4-6F of Building D, Jiale Science& Technology Industrial|Zone, Heshuikou Comm|Shenzhen||CN|518106|518106|03/27/2020|10/07/2020|SESE|HO|FLL|Statement|HO||Traditional|N||Infrared Thermometer
K200810|Nobel Biocare AB|Elena  Cavallini|BOX 5190, SE-402 26, Vastra Hamngatan I||Goteborg||SE|SE-411 17|SE-411 17|03/27/2020|10/08/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||IPS CaseDesigner
K200812|Philips Image Guided Therapy Corporation|Rand  Daoud|3721 Valley Centre Drive., Suite 500||San Diego|CA|US|92130|92130|03/27/2020|09/02/2020|SESE|CV|OBJ|Summary|CV||Traditional|N||VeriSight Intracardiac Echocardiography (ICE) Catheter, VeriSight Pro ICE Catheter
K200817|TruAbutment Inc.|Eunjin  Jang|17742 Cowan||Irvine|CA|US|92614|92614|03/30/2020|10/07/2020|SESE|DE|DZE|Summary|DE||Traditional|N||URIS OMNI Narrow System & Prosthetic
K200827|Ivory Super Holdco, Incp.|Marysa  Loustalot|2875 Locker Ave East||Carlsbad|CA|US|92010|92010|03/30/2020|09/02/2020|SESE|DE|NHA|Summary|DE||Special|N||LOCATOR R-Tx
K200833|VivaQuant Inc.|Brian  Brockway|4339 Nancy Place, Suite 100||St. Paul|MN|US|55126|55126|03/30/2020|09/02/2020|SESE|CV|MLO|Summary|CV||Traditional|N||RX-1 Rhythm Express Remote Cardiac Monitoring System
K200835|3M Company|Hilary B. Hovde|Bldg. 275-5W-06||St. Paul|MN|US|55144|55144|03/31/2020|09/04/2020|SESE|SU|FRO|Summary|||Traditional|N||3M Tegaderm CHG Chlorhexidine Gluconate Gel Pad
K200843|O&M Halyard, Inc.|Steven  Dowdley|9120 Lockwood Blvd||Mechanicsville|VA|US|23116|23116|03/31/2020|09/22/2020|SESE|HO|LZA|Summary|HO||Abbreviated|N||Halyard Pink Underguard Zero, Sterile Powder-Free Exam Gloves Tested with Chemotherapy Drugs
K200845|ulrich medical USA|Hans  Stover|18221 Edison Avenue||Chesterfield|MO|US|63005|63005|03/31/2020|09/10/2020|SESE|OR|OLO|Summary|NE||Traditional|N||Navigation Module of the Momentum System
K200851|GE Medical Systems Ultrasound and Primary Care Diagnostics|Tracey  Ortiz|9900 W. Innovation Drive||Wauwatosa|WI|US|53226|53226|03/31/2020|09/09/2020|SESE|RA|IYN|Summary|RA||Traditional|N||Vivid T8, Vivid T9
K200852|GE Medical Systems Ultrasound and Primary Care Diagnostics|Tracey  Ortiz|9900 Innovation Drive||Wauwatosa|WI|US|53226|53226|03/31/2020|09/18/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||EchoPAC Software Only, EchoPAC Plug-In
K200854|DePuy Ireland UC|Erin  Combs|Loughbeg Ringaskiddy||Co. Cork||IE|||03/31/2020|09/11/2020|SESE|OR|LPH|Summary|OR||Traditional|N||DePuy PINNACLE Dual Mobility Liner
K200862|Sonavi Labs, Inc.|Ian  McLane|1100 Wicomico St., Suite 600||Baltimore|MD|US|21230|21230|04/01/2020|09/14/2020|SESE|CV|DQD|Summary|CV||Traditional|N||Feelix Stethoscope
K200906|Medentika GmbH|Alexandra  Schulz|Hammweg 8-10||Huegelsheim||DE|76549|76549|04/06/2020|10/16/2020|SESE|DE|DZE|Summary|DE||Traditional|N||MINICONE Implant
K200916|Cyclomedica Australia Pty Ltd|Niamh  Mc Aree|Unit 4, 1 The Crescent||Kingsgrove||AU|NSW 2208|NSW 2208|04/06/2020|09/01/2020|SESE|RA|IYT|Summary|RA||Traditional|N||Patient Administration Set
K200948|Fitbit, Inc.|Shruti  Rajagopalan|199 Fremont Street||San Francisco|CA|US|94105|94105|04/08/2020|09/11/2020|SESE|CV|QDA|Summary|CV||Traditional|N||Fitbit ECG App
K200953|NuVasive, Incorporated|Michelle  Cheung|7475 Lusk Blvd.||San Diego|CA|US|92121|92121|04/09/2020|10/06/2020|SESE|OR|MAX|Summary|OR||Traditional|N||NuVasive® Cohere® Thoracolumbar Interbody System
K200987|AzurMeds inc.|Jean-Marie  Berger|4809 N Ravenswood Avenue Suite 119||Chicago|IL|US|60604|60604|04/15/2020|09/22/2020|SESE|OR|HWC|Summary|OR||Traditional|N||LTJ Screws and Washer
K201013|Optixon Inc.|Oh Jeong Ju|105/106 ho, 164, Obong-ro, Buk-Gu||Daegu||KR|41500|41500|04/17/2020|09/18/2020|SESE|OP|LPL|Summary|OP||Traditional|N||Optixon 1-Day
K201038|Luce Castle Co., Ltd.|Kyung Joo Kim|16, Ojeoncheon-ro, Uiwang||Gyeonggi||KR|||04/20/2020|10/09/2020|SESE|DE|NJM|Summary|DE||Traditional|N||Luce Ceramic Bracket
K201051|Institut Straumann AG|Christelle  Gerspach-Gasser|Peter Merian-Weg 12||Basel||CH|CH-4002|CH-4002|04/21/2020|09/24/2020|SESE|DE|LYC|Summary|DE||Traditional|N||Straumann BoneCeramic
K201073|SeaSpine Orthopedics Corporation|Aly  Alvarez|5770 Armada Drive||Carlsbad|CA|US|92008|92008|04/22/2020|09/18/2020|SESE|OR|OVE|Summary|OR||Traditional|N||Seaspine WaveForm C Interbody System
K201074|Dornier MedTech America, Inc.|John  Hoffer|1155 Roberts Blvd, Suite 100||Kennesaw|GA|US|30144|30144|04/22/2020|09/03/2020|SESE|GU|LNS|Summary|GU||Traditional|N||Delta III Lithotripter
K201090|VOCO GmbH|M. TH. Plaumann|Anton-Flettner-Str. 1-3||Cuxhaven||DE|27472|27472|04/23/2020|09/09/2020|SESE|DE|EBG|Statement|DE||Traditional|N||Structur CAD
K201103|GE Healthcare|Alexandra  Lifshits|4 Hayozma Street||Tirat Hacarmel||IL|30200|30200|04/24/2020|09/25/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||Xeleris V Processing and Review Systems
K201129|Medline Industires, Inc.|Matt  Clausen|Three Lakes Drive||Northfield|IL|US|60093|60093|04/28/2020|10/16/2020|SESE|SU|GEI|Statement|SU||Traditional|N||Medline Smoke Evacuation Pencil
K201134|Arthrex, Inc.|Heli F Chambi Infantas|1370 Creekside Boulevard||Naples|FL|US|34108-1945|34108-1945|04/28/2020|09/04/2020|SESE|SU|GCJ|Summary|GU||Traditional|N||Arthrex NanoScope System
K201135|Karl Storz Endoscopy-America, Inc.|Alita  McElroy|2151 E. Grand Avenue||El Segundo|CA|US|90245|90245|04/28/2020|09/01/2020|SESE|GU|FET|Summary|GU||Traditional|N||Image1 S CCU, Image1 S 4U Camera Head
K201145|Expanding Innovations, Inc.|Mbithi  Muthini|110 Pioneer Way, Suite I||Mountain View|CA|US|94041|94041|04/29/2020|09/10/2020|SESE|OR|MAX|Summary|OR||Traditional|N||X-Pac Expandable Lumbar Cage System
K201161|Bioland Technology Ltd.|Yiqing  Feng|No. A6B7 (Block G), ShangRong Industrial Zone|No. 5 Baolong Road|Shenzhen||CN|518116|518116|04/30/2020|10/02/2020|SESE|HO|FLL|Summary|HO||Traditional|N||Infrared Thermometer Model E127
K201170|Boston Scientific Corporation|Jennifer  Mrkvicka|3 Scimed Place||Maple Grove|MN|US|55311|55311|05/01/2020|09/15/2020|SESE|CV|LIT|Summary|CV||Traditional|N||Athletis PTA Balloon Dilatation Catheter
K201188|Clear Guide Medical|Jack  Kent|3600 Clipper Mill Road, Suite 400||Baltimore|MD|US|21211|21211|05/01/2020|09/30/2020|SESE|RA|JAK|Summary|RA||Traditional|N||Clear Guide SCENERGY
K201194|Acuity Polymers, Inc.|James A. Bonafini|1667 Lake Avenue, Suite 354||Rochester|NY|US|14615|14615|05/04/2020|09/08/2020|SESE|OP|HQD|Summary|OP||Traditional|N||Acuity 200™ (fluoroxyfocon A) Rigid Gas Permeable Contact Lens
K201203|Anest Iwata Sparmax Co., Ltd.|Lika  Lo|4B-03 Taipei World Trade Center, 4F, No.5, Sec.5, HsinYi Rd||Taipei||TW|11011|11011|05/04/2020|09/03/2020|SESE|SU|BTA|Summary|SU||Traditional|N||Cliq Aspirator
K201207|Fresenius Medical Care Renal Therapies Group, LLC|Denise  Oppermann|920 Winter Street||Waltham|MA|US|02451|02451|05/05/2020|09/18/2020|SESE|GU|KOC|Summary|GU||Traditional|N||CombiSet SMARTECH Hemodialysis Blood Tubing Set with attached Priming Set and Integrated Crit-Line Technology, CombiSet SMARTECH Hemodialysis Blood Tubing Set with attached Priming Set and Intergrated Crit-Line Technology, no Heparin Line
K201208|LIVMOR|Ken  Persen|16470 Bake Pkwy., Ste. 200||Irvine|CA|US|92618|92618|05/05/2020|09/23/2020|SESE|CV|DXH|Summary|CV||Traditional|N||Halo AF Detection System
K201211|Shenzhen Beacon Display Technology Co., Ltd.|Fu  Ailing|12F, Block B1, Nanshan Zhiyuan, No.1001 Xueyuan Road||Shenzhen||CN|518055|518055|05/05/2020|09/03/2020|SESE|RA|PGY|Summary|RA||Traditional|N||3MP Color LCD Monitors C32S+, C32SP+; 3MP Monochrome LCD Monitors G32S+, G32SP+
K201221|New Deantronics Taiwan Ltd|Jane  Liu|12F., No.51, Sec.4, Zhongyang Rd., Tucheng Dist.||New Taipei City||TW|23675|23675|05/06/2020|09/28/2020|SESE|SU|GEI|Summary|SU||Traditional|N||Electrosurgical Generator
K201224|Medrange|Helen  Xie|480 Apollo Street, Suite D.||Brea|CA|US|92821|92821|05/06/2020|09/18/2020|SESE|SU|GEI|Summary|SU||Traditional|N||Electrosurgical Generator and Accessories
K201225|JJGC Industria e Comercio de Materiais Dentarios S.A.|Mariana Soares Hartmann|Av. Juscelino Kubitschek de Oliveira, 3291- CIC||Curitiba||BR|81270-200|81270-200|05/06/2020|09/04/2020|SESE|DE|DZE|Summary|DE||Traditional|N||Neodent Implant System - GM Helix Implants 7.0
K201238|Siesta Medical, Inc.|Michael  Kolber|101 Church Street, Suite 3||Los Gatos|CA|US|95030|95030|05/07/2020|10/02/2020|SESE|DE|ORY|Summary|DE||Special|N||Encore System
K201252|Heidelberg Engineering GmbH|Christoph  Schoess|Max-Jarecki-Strasse 8||Heidelberg||DE|69115|69115|05/11/2020|09/09/2020|SESE|OP|OBO|Summary|OP||Traditional|N||Spectralis HRA+OCT and variants
K201260|R2 Technologies, Inc.|Ragan  Reppond|2603 Camino Ramon, Suite 200||San Ramon|CA|US|94583|94583|05/11/2020|09/24/2020|SESE|SU|GEH|Summary|SU||Traditional|N||Dermal Cooling System
K201273|Canon Inc.|Akira  Hirai|9-1, Imaikami-cho||Nakahara-ku, Kawasaki||JP|211-8501|211-8501|05/12/2020|09/25/2020|SESE|OP|NFF|Summary|RA||Traditional|N||ImageSPECTRUM
K201277|The Proctor & Gamble Company|Michael A Kaminski|1 Proctor & Gamble Plaza||Cincinnati|OH|US|45202|45202|05/13/2020|09/02/2020|SESE|DE|LFD|Summary|||Traditional|N||Oral-B Dry Mouth Oral Rinse
K201278|Signature Orthopaedics Pty Ltd.|Declan  Brazil|7 Sirius Road||Lane Cove||AU|2066|2066|05/13/2020|09/21/2020|SESE|OR|MEH|Summary|OR||Traditional|N||World Hip Stem, World Cup, World Liner
K201290|Medline Industries Inc|Leontyne  Banks|Three Lakes Drive||Northfield|IL|US|60090|60090|05/14/2020|09/21/2020|SESE|PM|IPF|Summary|PM||Traditional|N||Medline DeNovo 4Pro Electrical Stimulation Device
K201298|Volta Medical|Théophile Mohr Durdez|29 Boulevard de Louvain||Marseille||FR|13008|13008|05/15/2020|09/16/2020|SESE|CV|DQK|Summary|CV||Traditional|N||VX1
K201301|Scopio Labs LTD.|Shahar  Karny|11 Tiomkin St., 2nd floor||Tel Aviv||IL|6578313|6578313|05/15/2020|10/02/2020|SESE|HE|JOY|Summary|HE||Traditional|N||X100 with Full Field Peripheral Blood Smear (PBS) Application
K201315|Tornier, Inc.|Renee  Stoffel|10801 Nesbitt Avenue South||Bloomington|MN|US|55437|55437|05/18/2020|09/11/2020|SESE|OR|PAO|Summary|OR||Traditional|N||PERFORM Humeral System – Stem
K201330|Avinger, Inc.|Thomas  Lawson|400 Chesapeake Drive||Redwood City|CA|US|94063|94063|05/19/2020|09/10/2020|SESE|CV|PDU|Summary|CV||Traditional|N||Tigereye CTO-Crossing Catheter
K201333|Cordis Corporation|Kyungyoon  Kang|14201 N.W. 60TH AVE.||MIAMI LAKES|FL|US|33014|33014|05/19/2020|09/11/2020|SESE|CV|LIT|Summary|CV||Traditional|N||SABER .035 PTA Dilatation Catheter
K201336|Synthes (USA) Products, LLC|Pol Fort Grebol|1301 Goshen Parkway||West Chester|PA|US|19380|19380|05/20/2020|09/03/2020|SESE|OR|JDS|Summary|OR||Traditional|N||DePuy Synthes Tibial Nail Advanced, Depuy Synthes Locking Screws Medullary Nails, 4.0 and 5.0mm
K201341|Acutus Medical, Inc.|Karla  Schaffner|2210 Faraday Ave., Suite 100||Carlsbad|CA|US|92008|92008|05/20/2020|09/15/2020|SESE|CV|MTD|Summary|CV||Traditional|N||AcQMap 3D Imaging and Mapping Catheter
K201346|Synthes (USA) Products, LLC|Keith  Knapp|1301 Goshen Parkway||West Chester|PA|US|19380|19380|05/21/2020|09/23/2020|SESE|OR|HSB|Summary|OR||Traditional|N||DePuy Synthes Retrograde Femoral Nail Advanced System, DePuy Synthes Locking Screws for Medullary Nails, 5.0 mm
K201350|Best Nomos|Vineet  Gupta|One Best Drive||Pittsburgh|PA|US|15202|15202|05/21/2020|09/20/2020|SESE|RA|MUJ|Summary|RA||Traditional|N||CORVUS
K201359|Xinkang Medical Instrument Co., Ltd|Xu  Changsheng|2 Floor, Puhua Science and Technology Park, Tongsheng|Community Dalang|Shenzhen||CN|518109|518109|05/21/2020|10/01/2020|SESE|CV|DSA|Summary|CV||Traditional|N||ECG Cables and Leadwires
K201367|Integrity Implants Inc.|Lauren  Kamer|354 Hiatt Drive||Palm Beach Gardens|FL|US|33418|33418|05/22/2020|09/23/2020|SESE|OR|MAX|Summary|OR||Traditional|N||FlareHawk TiHawk9 Interbody Fusion System
K201369|See-Mode Technologies Pte. Ltd.|Sadaf  Monajemi|32 Carpenter Street, #03-01||Singapore||SG|059911|059911|05/22/2020|09/16/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||AVA (Augmented Vascular Analysis)
K201377|Cordis Corporation|Luis  Davila|14201 NW 60TH Ave||Miami Lakes|FL|US|33014|33014|05/26/2020|10/09/2020|SESE|CV|LIT|Summary|CV||Traditional|N||SABERX RADIANZ Percutaneous Transluminal Angioplasty Dilatation Catheter
K201380|Andon Health Co., Ltd.|Liu  Yi|No. 3 Jin Ping Street,Ya An Road, Nankai District||Tianjin||CN|300190|300190|05/26/2020|10/07/2020|SESE|HO|FXX|Summary|SU||Abbreviated|N||Livocare Surgical Mask
K201381|Philips Consumer Lifestyle - Innovation Site Eindhoven|Aurore  Millet|High Tech Campus 37||Eindhoven||NL|5656 AE|5656 AE|05/26/2020|10/01/2020|SESE|OB|HGX|Summary|OB||Traditional|N||Philips Avent Single/Double electric breast pump Advanced
K201390|Medline Industires, Inc.|Adam  Ostrower|Three Lakes Drive||Northfield|IL|US|60093|60093|05/27/2020|09/18/2020|SESE|HO|LZC|Summary|HO||Traditional|N||Medline Powder-Free Light Blue Nitrile Exam Gloves (Tested for Use with Chemotherapy Drugs)
K201396|OSANG Healthcare Co., Ltd.|Ik-Hyeon  Kim|132, Anyangcheondong-Ro, Dongan-Gu||Anyang||KR|14040|14040|05/28/2020|10/16/2020|SESE|CH|NBW|Summary|CH||Special|N||Finetest Lite Smart Blood Glucose Monitoring System
K201398|Stryker ENT|Bruce  Backlund|3600 Holly Lane North, Suite 40||Plymouth|MN|US|55447|55447|05/28/2020|10/15/2020|SESE|EN|LRC|Summary|EN||Traditional|N||SINUSPRIME Dilation System
K201407|Medtronic Sofamor Danek USA, INC.|Usman  Rashid|1800 Pyramid Place||Memphis|TN|US|38132|38132|05/28/2020|09/10/2020|SESE|OR|NKB|Summary|OR||Traditional|N||CD Horizon™ Spinal System
K201439|Respironics, Inc.|Jennifer  Richardson|1001 Murry Ridge Lane||Murrysville|PA|US|15668|15668|06/01/2020|09/25/2020|SESE|AN|BZD|Summary|AN||Traditional|N||Ventilator, Non-continuous (Respirator)
K201446|Edwards Lifesiences, LLC|Varad  Raghuwanshi|One Edwards Way||Irvine|CA|US|92614|92614|06/01/2020|10/01/2020|SESE|CV|DQK|Summary|CV||Traditional|N||HemoSphere Advanced Monitoring Platform, HemoSphere ClearSight Module
K201450|Straight T, Inc.|Minh  Trinh|16952 W. Bell Rd #301||Surprise|AZ|US|85374|85374|06/01/2020|09/10/2020|SESE|DE|NXC|Summary|DE||Traditional|N||Straight T Clear Dental Aligner
K201453|Paradigm Spine, GmbH|Alberto  Jurado|505 Park Avenue, 14th Floor||New York|NY|US|10022|10022|06/01/2020|10/07/2020|SESE|OR|MAX|Summary|OR||Traditional|N||Fortilink Cages with TiPlus Technology
K201467|Bioland Technology Ltd.|Yiqing  Feng|No. A6B7 (Block G), ShangRong Industrial Zone|No. 5 Baolong Road|Shenzhen||CN|518116|518116|06/02/2020|09/21/2020|SESE|CV|DXN|Summary|CV||Traditional|N||Blood Pressure Monitor-Model 2005, 2006-2, 2006-2B
K201470|JKH USA, LLC|Bill Quanqin Dai|20505 Valley Blvd. Suite 108||Walnut|CA|US|91789|91789|06/03/2020|09/08/2020|SESE|HO|FXX|Statement|SU||Traditional|N||Disposable Medical Face Mask
K201483|Zhengzhou Huaer Electro Optics Technology Co., Ltd|Li  XiaoJun|Floor 1, B of Building 18, National University Science Park|of Henan Province|Zhengzhou||CN|450000|450000|06/04/2020|10/08/2020|SESE|DE|ELW|Summary|DE||Traditional|N||Impression Material
K201494|Advin Biotech, Inc.|Daniel  Hsu|10237 Flanders Ct||San Diego|CA|US|92121|92121|06/05/2020|09/17/2020|SESE|TX|DJG|Summary|TX||Traditional|N||ATTEST Drug Screen Cup, ATTEST Drug Screen Dip Card
K201506|Meditech Spine, LLC|Bruce  Dunaway|1447 Peachtree St NE Suite 440||Atlanta|GA|US|30309|30309|06/05/2020|09/11/2020|SESE|OR|ODP|Summary|OR||Special|N||Talos®-C Cervical Intervertebral Body Fusion System, Talos®-C (HA) Cervical Intervertebral Body Fusion System
K201517|AOK Tooling Limited|Francis  Nithyananthan|#8, Longtian 3Rd, Longtian Street, Pingshan Dist.||Shenzhen||CN|518122|518122|06/08/2020|09/04/2020|SESE|HO|FXX|Summary|SU||Traditional|N||Plain Surgical Mask
K201522|Arthrex Inc.|Rebecca R. Homan|1370 Creekside Boulevard||Naples|FL|US|34108-1945|34108-1945|06/08/2020|09/03/2020|SESE|OR|HTN|Summary|OR||Traditional|N||Arthrex Syndesmosis TightRope XP Buttress Plate Implant System
K201525|Apple Inc.|Luke  Olson|One Apple Park Way||Cupertino|CA|US|94015|94015|06/08/2020|10/08/2020|SESE|CV|QDA|Summary|CV||Traditional|N||ECG App
K201528|InnoCare Optoelectronics Corp.|Yumei  Cheng|Rm. B, No. 2, Sec. 2, Huanxi Rd., Xinshi Dist.,|Tainan City 744, Taiwan (R.O.C.)|Tainan City||TW|744|744|06/08/2020|10/11/2020|SESE|RA|MQB|Summary|RA||Traditional|N||Yushan X-Ray Flat Panel Detector with DROC
K201532|B & J Manufacturing Ltd.|Billy  Yu|Room 701 & 101, Building 24, Block B,|Yuanshan Industrial Zone, Gongming|Shenzhen||CN|518106|518106|06/08/2020|09/19/2020|SESE|CV|JOW|Summary|CV||Traditional|N||B&J DVT Calf/Thigh Garments, Models 801/830 Series
K201535|BoneSupport AB|Blerta  Shuka|Scheelevagen 19, Ideon Science Park||Lund||SE|SE 223-70|SE 223-70|06/08/2020|10/16/2020|SESE|OR|MQV|Summary|OR||Traditional|N||Cerament Bone Void Filler
K201537|Shandong Shengquan New Material Co., Ltd.|Xiumei  Zhang|Diaozhen Industrial Development Zone, Zhangqiu District,||Jinan||CN|250204|250204|06/08/2020|09/04/2020|SESE|HO|MSH|Summary|SU||Traditional|N||Protective Face Mask for Medical Use
K201538|Life Spine Inc.|Angela  Batker|13951 S Quality Drive||Huntley|IL|US|60142|60142|06/09/2020|09/18/2020|SESE|OR|OUR|Summary|OR||Traditional|N||Life Spine SIMPACT Sacroiliac Joint Fixation System
K201539|B-Temia Inc.|Alexandre  Jokic|4780, rue St-Felix-unite 105||St Augustin de Desmaure||CA|G3A 2J9|G3A 2J9|06/09/2020|09/09/2020|SESE|NE|PHL|Summary|PM||Traditional|N||Keeogo Dermoskeleton System
K201546|RevisiOs BV|Hen  Baron|Professor Bronkhorstlaan 10, Building 48||3723 MB Bilthoven||NL|||06/09/2020|10/02/2020|SESE|DE|LYC|Summary|DE||Traditional|N||OsOpia Synthetic Bone Void Filler
K201547|B&J Manufacturing Ltd.|Billy  Yu|Room 701&101, Building 24, Block B, Yuanshan Industrial Zone|Gongming|Shenzhen||CN|518106|518106|06/09/2020|09/18/2020|SESE|CV|JOW|Summary|CV||Traditional|N||B&J DVT Foot Garments, Models 820 Series
K201551|i-SENS, Inc.|Joon  Ho Jung|43, Banpo-daero 28-gil, Seocho-gu||Seoul||KR|06646|06646|06/09/2020|09/09/2020|SESE|CH|JIN|Statement|CH||Special|N||KetoSens BT Blood B-Ketone Monitoring System
K201552|Apollo Medical Optics, Ltd.|Chi-Hua  Wu|2F., No.43, Ln. 188, Ruiguang Rd., Neihu Dist.||Taipei City||TW|114|114|06/10/2020|09/02/2020|SESE|SU|NQQ|Summary|RA||Traditional|N||ApolloVue S100 Image System
K201559|Cyberdyne Inc.|Yohei  Suzuki|2-2-1 Gakuen-Minami||Tsukuba||JP|305-0818|305-0818|06/10/2020|10/02/2020|SESE|NE|PHL|Summary|PM||Traditional|N||HAL for Medical Use(Lower Limb type)
K201561|Neoss Limited|Stellan  Sundstrom|Windsor House, Cornwall Rd||Harrogate||GB|HG1 2PW|HG1 2PW|06/10/2020|10/05/2020|SESE|DE|DZL|Summary|DE||Traditional|N||Membrane Screws and Membrane Tacks
K201562|Vitalograph Ireland Ltd.|Tony  O'Hanlon|Gort Road Business Park||Ennis Co Clare||IE|V95 HFT4|V95 HFT4|06/10/2020|10/14/2020|SESE|AN|BZG|Summary|AN||Traditional|N||Spirotrac
K201570|Immucor GTI Diagnostics, Inc.|Allison  Stray|20925 Crossroads Circle||Waukesha|WI|US|53186|53186|06/11/2020|09/11/2020|SESE|HE|LCO|Summary|HE||Special|N||PF4 Enhanced assay
K201578|Synthes (USA) Products, LLC|Enrico  Gindro|1301 Goshen Parkway||West Chester|PA|US|19380|19380|06/11/2020|09/09/2020|SESE|OR|HRS|Summary|OR||Traditional|N||DePuy Synthes Variable Angle Locking Patella Plating System
K201587|Icotec AG|Marina  Hess|Industriestrasse 12||Altstaetten||CH|9450|9450|06/11/2020|10/15/2020|SESE|OR|KWQ|Summary|OR||Traditional|N||icotec Anterior Cervical Plate System
K201591|KA Imaging Inc.|Samuel  To|560 Parkside Dr #3||Waterloo||CA|N2L 5Z4|N2L 5Z4|06/12/2020|09/03/2020|SESE|RA|MQB|Summary|RA||Traditional|N||Flat Panel Detector
K201595|Merit Medical Systems, Inc.|Mark  Mullaney|Parkmore Business Park West||Galway||IE|h91 w274|h91 w274|06/12/2020|10/14/2020|SESE|CV|DQX|Summary|CV||Traditional|N||Merit Hydrophilic Guide Wire
K201615|GE Medical Systems, LLC|Brian R. Zielski|3200 Grandview Blvd||Waukesha|WI|US|53188|53188|06/15/2020|10/15/2020|SESE|RA|LNH|Summary|RA||Traditional|N||SIGNA 7.0T
K201631|Alafair Biosciences Inc|Angela  Mallery|6101 W Courtyard Drive ste 2-225||Austin|TX|US|78730|78730|06/16/2020|09/14/2020|SESE|NE|JXI|Summary|NE||Traditional|N||VersaWrap Nerve Protector
K201642|Chalice Medical Ltd|Stephen  Horan|Manton Wood Enterprise Park||Worksop||GB|S80 2RS|S80 2RS|06/17/2020|09/18/2020|SESE|CV|DTZ|Summary|CV||Traditional|N||Paragon Adult Maxi PMP Oxygenator with Tubing Pack
K201645|JKH USA, LLC|Bill Quanqin Dai|20505 Valley Blvd. Suite 108||Walnut|CA|US|91789|91789|06/17/2020|09/15/2020|SESE|PM|IRP|Summary|PM||Traditional|N||Massage Compression Boots
K201646|SeaSpine Orthopedics Corporation|Alicia  McArthur|5770 Armada Drive||Carlsbad|CA|US|92008|92008|06/17/2020|09/14/2020|SESE|OR|OVE|Summary|OR||Traditional|N||Shoreline ACS (Anterior Cervical System)
K201656|Jeil Medical Corporation|Sejin  Ryu|702,703,704,705,706,804,805,807,812,815-ho,|55 Digital-ro 34-gil, Guro-gu|Seoul||KR|08378|08378|06/18/2020|09/15/2020|SESE|OR|HRS|Summary|OR||Traditional|N||ARIX Elbow System
K201659|S.M.A.I.O|Stephanie  Escoffier|2, Place Berthe Morisot – Parc Technologique||Saint-Priest||FR|69800|69800|06/18/2020|10/05/2020|SESE|OR|NKB|Summary|OR||Traditional|N||KHEIRON® Spinal Fixation System
K201661|Medos International, SARL|Nicole  Aeschbacher|Chemin-Blanc 38||Le Locle||CH|2400|2400|06/18/2020|09/16/2020|SESE|OR|OLO|Summary|NE||Traditional|N||Symphony Navigation Ready Instruments and Universal Navigation Adaptor Set
K201664|Orthofix Inc.|Jacki  Koch|3451 Plano Parkway||Lewisville|TX|US|75056|75056|06/19/2020|09/15/2020|SESE|OR|OUR|Summary|OR||Traditional|N||FIREBIRD SI Fusion System
K201665|Philips Ultrasound, Inc.|Colin S. Jacob|22100 Bothell Everett Highway||Bothell|WA|US|98021-8431|98021-8431|06/19/2020|09/15/2020|SESE|RA|LLZ|Summary|RA||Traditional|N||Collaboration Live
